Date,Title,Location,Time,Description,Category,Audience
"Wednesday July 8, 2026",Triple P: Positive Parenting Program,EAST LAS VEGAS LIBRARY,10:30am - 1:00pm,Join the free 8-week parenting information classes for parents of children ages 2-11 years old.,Education & Literacy,Adults
"Wednesday July 8, 2026",Playtime Through the Past,SUNRISE LIBRARY,10:30am - 11:30am,Step into history and celebrate America 250!,Education & Literacy,"Preschoolers, Kids REGISTERED EVENT"
"Wednesday July 8, 2026",Basic Podcast Editing,WEST LAS VEGAS LIBRARY,10:30am - 11:30am,"This is a class dedicated to teaching our customers how to take the episodes they've recorded in our studio and easily edit them into polished, professional podcasts using Descript.","Arts, Crafts & Hobbies • Computers & Technology","Teens, Adults Page 41 of 193 --footer-line"
"Wednesday July 8, 2026",DUPLO Play,WEST CHARLESTON LIBRARY,10:30am - 11:00am,"Children ages 0-5 and their families are welcome to join us to read a story, sing some songs, and build a LEGO DUPLO creation. Creations will be displayed all month long at the library!","Arts, Crafts & Hobbies","Toddlers, Preschoolers"
"Wednesday July 8, 2026",Tiny Tots Storytime & Free Play,MOAPA TOWN LIBRARY,10:30am - 11:00am,"Join us for stories, songs, and activities that build early literacy skills.",Storytime,"Toddlers, Preschoolers"
"Wednesday July 8, 2026","Storytime, Snacks & Conversation",SUMMERLIN LIBRARY,10:30am - 11:30am,Join us in the Conference Room for a Storytime and quick conversation about your library experience.,Storytime,"Toddlers, Kids, Babies, Adults"
"Wednesday July 8, 2026",Preschool DUPLO Storytime,CENTENNIAL HILLS LIBRARY,10:45am - 11:15am,Join us for a story and play time where children can build their engineering skills by using DUPLO bricks alongside others! Space is limited. Ages 3-5.,STEAM • Storytime,Preschoolers Three Square Senior Luncheon and
"Wednesday July 8, 2026",Social Hour,CLARK COUNTY LIBRARY,11:00am - 1:00pm,"The Library District and Three Square are teaming up to provide a hot and healthy meal for seniors 60 and over. Come join us for a bite to eat, socialize, and make new friends!",Community Events • Entertainment & Theater • Health & Wellness ...,Seniors
"Wednesday July 8, 2026",0-5 Storytime,RAINBOW LIBRARY,11:00am - 11:30am,This story program is targeted for all children under the age of five and their parents or caregivers. Come and enjoy a short storytime with us!,Storytime,"Toddlers, Preschoolers, Kids, Babies"
"Wednesday July 8, 2026",Babytime,ENTERPRISE LIBRARY,11:00am - 11:30am,"Caregivers and babies will learn lap sit games, bounces, and rhymes. Build your child's appreciation for books & reading at Babytime! Ages 0-18 months.",Storytime,Babies
"Wednesday July 8, 2026",Play & Learn,EAST LAS VEGAS LIBRARY,11:00am - 12:00pm,For parents/caregivers and children ages 0 to 5 years old. Parents this is the time for you and your child to bond and learn together through play.,Education & Literacy,"Toddlers, Preschoolers, Babies"
"Wednesday July 8, 2026",Meet Up and Eat Up,SUNRISE LIBRARY,11:00am - 1:00pm,Join Sunrise Library in the children's area for free meals for children ages 2-18. Food is provided by Three Square Food Bank.,Community Events • Health & Wellness,"Tweens, Toddlers, Teens, Preschoolers, Kids, Babies"
"Wednesday July 8, 2026",Fun to Play for Preschoolers,CLARK COUNTY LIBRARY,11:00am - 12:00pm,This 6-week program promotes children's school readiness skills and introduces the Nevada Pre-Kindergarten standards.,Education & Literacy,"Preschoolers, Adults"
"Wednesday July 8, 2026",Family Storytime,MOAPA VALLEY LIBRARY,11:00am - 11:30am,Storytime and activities for the whole family.,Storytime,"Toddlers, Preschoolers, Kids, Babies Page 42 of 193 --footer-line"
"Wednesday July 8, 2026",Preschool Storytime,SAHARA WEST LIBRARY,11:15am - 11:45am,"Build your child's early literacy skills and help them develop a love for books with stories, songs, and more!",Education & Literacy • Storytime,"Preschoolers, Kids CANCELLED EVENT REGISTERED EVENT"
"Wednesday July 8, 2026",Device Advice,WHITNEY LIBRARY,11:30am - 12:30pm,Having trouble with one of your mobile electronic devices? Meet one-on-one with our computer lab assistants who will help you better understand & use the latest technology.,Computers & Technology,"Seniors, Adults"
"Wednesday July 8, 2026",Baby Storyime,WINDMILL LIBRARY,11:30am - 12:00pm,Includes book-sharing time and language- enrichment activities such as interactive songs.,Storytime,Babies
"Wednesday July 8, 2026",Toddler Storytime,SUMMERLIN LIBRARY,11:30am - 12:00pm,"In this storytime, we will enjoy books, songs, rhymes, and movement activities while building language and literacy skills.",Storytime,Toddlers
"Wednesday July 8, 2026",Toddler Storytime,SPRING VALLEY LIBRARY,11:30am - 12:00pm,"Children ages 18 to 36 months and their caregivers are invited to participate as we share songs, rhymes, and stories!",Storytime,Toddlers
"Wednesday July 8, 2026",Meet Up and Eat Up,INDIAN SPRINGS LIBRARY,11:30am - 1:30pm,Join the Indian Springs Library for free meals for children ages 3-18. Food is provided by Three Square Food Bank.,Community Events • Health & Wellness,"Tweens, Toddlers, Teens, Preschoolers, Kids, Babies"
"Wednesday July 8, 2026",Preschool DUPLO Storytime,CENTENNIAL HILLS LIBRARY,11:30am - 12:00pm,Join us for a story and play time where children can build their engineering skills by using DUPLO bricks alongside others! Space is limited. Ages 3-5.,STEAM • Storytime,Preschoolers
"Wednesday July 8, 2026",Teen Zone,SPRING VALLEY LIBRARY,12:00pm - 5:00pm,"Teens ages 12-17 or grades 6-12 are invited to play games, watch movies, or be creative while hanging out with friends.","Arts, Crafts & Hobbies • Games","Tweens, Teens"
"Wednesday July 8, 2026",Meet Up and Eat Up,CLARK COUNTY LIBRARY,12:00pm - 2:00pm,Join Clark County Library Library in the children's area for free meals for children ages 2-18. Food is provided by Three Square Food Bank.,Community Events • Health & Wellness,"Tweens, Toddlers, Teens, Preschoolers, Kids, Babies"
"Wednesday July 8, 2026",Meet Up and Eat Up,RAINBOW LIBRARY,12:00pm - 2:00pm,Join Rainbow Library in the children's area for free meals for children under the age of 18. Food is provided by Three Square Food Bank.,Community Events • Health & Wellness,"Tweens, Toddlers, Teens, Preschoolers, Kids, Babies Page 43 of 193 --footer-line"
"Wednesday July 8, 2026",Book Sale,BLUE DIAMOND LIBRARY,12:00pm - 4:30pm,Shop our annual Library District Foundation Summer Challenge Book Sale to enjoy unbeatable deals! All items in the bookstore are $.25.,Community Events,"Tweens, Toddlers, Teens, Seniors, Preschoolers, Kids, Babies, Adults REGISTERED EVENT"
"Wednesday July 8, 2026",Yoga at the Library,SAHARA WEST LIBRARY,12:00pm - 1:00pm,Join us for this free yoga class in partnership with Yoga for Life Las Vegas.,Health & Wellness,Adults
"Wednesday July 8, 2026",Take and Make,BLUE DIAMOND LIBRARY,12:00pm - 4:30pm,"Need something to do this summer? Come pick up this kit which includes hiking and walking best practices, spending time outside, places to visit, types of flora and fauna outside, and more!",Education & Literacy • Environment & Nature • Health & Wellness,"Tweens, Toddlers, Teens, Preschoolers, Kids, Adults"
"Wednesday July 8, 2026",Meet Up and Eat Up,SPRING VALLEY LIBRARY,12:30pm - 2:30pm,Join Spring Valley Library in the children's area for free meals for children ages 3-18. Food is provided by Three Square Food Bank.,Community Events • Health & Wellness,"Tweens, Toddlers, Teens, Preschoolers, Kids"
"Wednesday July 8, 2026",Meet Up and Eat Up,CENTENNIAL HILLS LIBRARY,12:30pm - 2:00pm,Join Centennial Hills Library in the Bookstore & Vending area for free meals for children ages 3- 18. Food is provided by Three Square Food Bank.,Community Events • Health & Wellness,"Tweens, Teens, Preschoolers, Kids"
"Wednesday July 8, 2026",Book Bingo,MESQUITE LIBRARY,1:00pm - 2:30pm,Join us for a lively round of book-themed Bingo where every square brings you closer to your next great read.,Games,"Seniors, Adults"
"Wednesday July 8, 2026",Mess-a-Mania,WEST LAS VEGAS LIBRARY,1:00pm - 2:00pm,"Children in grades K-5 are invited to enjoy a messy art project, science project, or other messy good time.","Arts, Crafts & Hobbies • STEAM","Tweens, Kids"
"Wednesday July 8, 2026",Teen Chill Zone,WEST LAS VEGAS LIBRARY,1:00pm - 5:00pm,"Teens in grades 6-12 are invited to take a break and relax with board games, puzzles, coloring, and more in our Teen Zone.",Entertainment & Theater • Games,Teens
"Wednesday July 8, 2026",Teen Zine,INDIAN SPRINGS LIBRARY,1:00pm - 3:00pm,"What is a zine? Join us for chats about zines, zine culture, and, of course, making your own! We'll focus on 8-page, smaller zines to get everyone started and create a space for our local zines!","Arts, Crafts & Hobbies • Books, Poetry & Writing","Tweens, Teens Asian Community Development"
"Wednesday July 8, 2026",Council Information Session,SPRING VALLEY LIBRARY,2:00pm - 4:00pm,"Learn about available resources including a culturally sensitive food bank, SNAP assistance, health care assistance and clinics.",Community Events • Health & Wellness,"Seniors, Adults Page 44 of 193 --footer-line"
"Wednesday July 8, 2026",Meet Up and Eat Up,WEST LAS VEGAS LIBRARY,2:00pm - 4:00pm,Join West Las Vegas Library in the children's area for free meals for children ages 2-18. Food is provided by Three Square Food Bank.,Community Events • Health & Wellness,"Tweens, Toddlers, Teens, Preschoolers, Kids, Babies"
"Wednesday July 8, 2026",Investing 101 – The Basics,WHITNEY LIBRARY,2:00pm - 3:30pm,Financial Advising,Education & Literacy,Adults
"Wednesday July 8, 2026",Summer Perler Bead Club,MESQUITE LIBRARY,2:30pm - 3:30pm,Fuse your imagination! Each week we'll have a fun new challenge. All materials provided. For ages 6 yrs. and up.,"Arts, Crafts & Hobbies • STEAM","Tweens, Teens, Kids"
"Wednesday July 8, 2026",Summer Video Arcade,SUNRISE LIBRARY,2:30pm - 4:15pm,After reading your book for Summer Challenge come play video games with others on our Switch and PlayStation 5.,Games,"Tweens, Teens, Kids"
"Wednesday July 8, 2026",Meet Up to Eat Up,WHITNEY LIBRARY,2:30pm - 4:30pm,Join Whitney Library in the children's area for free meals for children ages 2-18. Food is provided by Three Square Food Bank.,Community Events,"Tweens, Toddlers, Teens, Preschoolers, Kids"
"Wednesday July 8, 2026",Computer Class,SANDY VALLEY LIBRARY,3:00pm - 4:00pm,"Every Wednesday. Adults and Seniors welcome! Free and open to the public. Learn to use basic hardware & software commonly found on computers, to help you navigate them with ease!",Community Events • Computers & Technology • Education & Literacy,"Seniors, Adults"
"Wednesday July 8, 2026",Meet Up and Eat Up,ENTERPRISE LIBRARY,3:00pm - 5:00pm,Join Enterprise Library in the children's area for free meals for children ages 3-18. Food is provided by Three Square Food Bank.,Community Events • Health & Wellness,"Tweens, Toddlers, Teens, Preschoolers, Kids, Babies"
"Wednesday July 8, 2026",Media Shorts,CLARK COUNTY LIBRARY,3:00pm - 5:00pm,Media Shorts is a weekly teen program where creativity meets technology. We're offering hands-on experience with podcasting.,"Arts, Crafts & Hobbies • Books, Poetry & Writing • Computers & Technology ...",Teens
"Wednesday July 8, 2026",Doing Good in the Neighborhood,WEST LAS VEGAS LIBRARY,3:30pm - 4:30pm,Teens can earn volunteer hours by helping with library projects.,Education & Literacy,Teens
"Wednesday July 8, 2026",Teen Arts & Crafts: Backpack Bling,WEST CHARLESTON LIBRARY,3:30pm - 4:30pm,Join us as we make personalized charms to add to your favorite bag or backpack! All programs are free and open to the public. For more information please call the Youth Department at 702.507.3947,"Arts, Crafts & Hobbies",Teens Page 45 of 193 --footer-line
"Wednesday July 8, 2026",Adult Game Retreat,INDIAN SPRINGS LIBRARY,3:30pm - 5:00pm,"While the kids are away, the adults can come play! Bring your own game or play one of ours, but come enjoy our air conditioned space and big tables for some board- and card games!",Games,Adults
"Wednesday July 8, 2026",Punch Needle,SUNRISE LIBRARY,4:00pm - 5:00pm,Learn the wonderful textile art of punch needle by creating a simple project to take home.,"Arts, Crafts & Hobbies","Seniors, Adults"
"Wednesday July 8, 2026",Chess Club,WEST LAS VEGAS LIBRARY,4:00pm - 7:00pm,Come learn and play chess!,"Arts, Crafts & Hobbies • Games","Tweens, Teens, Adults REGISTERED EVENT"
"Wednesday July 8, 2026",Intro to Video Production,ENTERPRISE LIBRARY,4:00pm - 5:00pm,Learn the basics of operating video production equipment and learn how to utilize our creative spaces.,"Arts, Crafts & Hobbies • Computers & Technology • Entertainment & Theater","Seniors, Adults"
"Wednesday July 8, 2026",Pokemon Biology,SPRING VALLEY LIBRARY,4:00pm - 5:00pm,Is Mew a feline or a rodent? Would you classify Parasect as an insect or a fungus? Children ages 6-11 or grades K-5 are invited to learn about biology as we help you fill up your Pokédex!,"Arts, Crafts & Hobbies","Tweens, Kids REGISTERED EVENT"
"Wednesday July 8, 2026",Hot Off the Press,SAHARA WEST LIBRARY,4:00pm - 5:30pm,Make your own coasters!,"Arts, Crafts & Hobbies",Teens
"Wednesday July 8, 2026",Summer Tutoring,ENTERPRISE LIBRARY,4:00pm - 6:00pm,"Enterprise Library is offering free summer tutoring services for youth in grades K-12. Our tutor can assist with Reading, Writing, and Math!",Education & Literacy,"Tweens, Teens, Kids"
"Wednesday July 8, 2026",STEAM Wednesday: Bubbles!,CLARK COUNTY LIBRARY,4:00pm - 5:00pm,Come on down to STEAM Wednesday and have fun with bubbles! For children ages 6 and up.,STEAM,"Tweens, Kids"
"Wednesday July 8, 2026",LEGO Club,CENTENNIAL HILLS LIBRARY,4:30pm - 5:15pm,Join us for LEGO Club! We'll share stories and books and build projects inspired by those stories. Space is limited. Grades K-5.,STEAM,Kids CANCELLED EVENT
"Wednesday July 8, 2026",Family Storytime,RAINBOW LIBRARY,4:30pm - 5:00pm,"Join us each week to enjoy some books and music, followed by a special STEAM activity that is fun for everyone! Check our paper calendar or give us a call to find out today's activity. For ages 0-11.",Storytime,"Tweens, Toddlers, Preschoolers, Kids, Babies Page 46 of 193 --footer-line REGISTERED EVENT"
"Wednesday July 8, 2026",STEM Meets Art,SUMMERLIN LIBRARY,4:30pm - 5:30pm,"Create art about science, technology, engineering, or math. This month we will learn about pointilism.","Arts, Crafts & Hobbies • STEAM",Kids
"Wednesday July 8, 2026",Meet Up and Eat Up,EAST LAS VEGAS LIBRARY,4:30pm - 5:30pm,Join East Las Vegas Library in the children's area for free meals for children ages 3-18. Food is provided by Three Square Food Bank.,Community Events • Health & Wellness,"Tweens, Toddlers, Teens, Preschoolers, Kids, Babies"
"Wednesday July 8, 2026",School Age,SAHARA WEST LIBRARY,4:30pm - 5:30pm,Dive into the world of mermaids!,"Arts, Crafts & Hobbies • Education & Literacy","Tweens, Kids"
"Wednesday July 8, 2026",Kid's Engineer: Paper Roller Coasters,WINDMILL LIBRARY,4:30pm - 5:30pm,"In this program, children will explore engineering concepts by designing and building their own marble run coasters using colorful paper and other everyday materials.",STEAM,Kids
"Wednesday July 8, 2026",Tween Scene,ENTERPRISE LIBRARY,4:30pm - 5:30pm,"Join us at Enterprise Library where we will learn about Dream Catchers, and you will be able to design and make your own! For tweens ages 8 to 11 years old.","Arts, Crafts & Hobbies • STEAM",Tweens
"Wednesday July 8, 2026",Amazing Reads Book Club,WEST CHARLESTON LIBRARY,5:00pm - 6:00pm,"The West Charleston Library is excited to host the Amazing Reads Book Club. Join us on the second Wednesday of every month to discuss books, authors, and get lost in the storyline. Call 702.507.3941.","Books, Poetry & Writing","Seniors, Adults REGISTERED EVENT"
"Wednesday July 8, 2026",Yoga at the Library - Adult Yoga,RAINBOW LIBRARY,5:00pm - 6:00pm,Join us for this free yoga class in partnership with Yoga for Life Las Vegas.,Health & Wellness,"Teens, Seniors, Adults"
"Wednesday July 8, 2026",Monticello Declaration Book Club,ENTERPRISE LIBRARY,5:00pm - 7:00pm,"The kickoff for a four part reading, viewing and discussion series on the Declaration of Independence created by the National Constitution Center and the Thomas Jefferson Foundation.","Books, Poetry & Writing • Education & Literacy • Lectures & Conversations","Teens, Seniors, Adults"
"Wednesday July 8, 2026",Fiber Arts Lounge,SUNRISE LIBRARY,5:00pm - 6:00pm,"Calling all knitters, crocheters, and makers! Join us for a relaxed meet up for fiber arts enthusiasts. Bring your own project, meet like- minded folks, and find inspiration!","Arts, Crafts & Hobbies","Teens, Adults"
"Wednesday July 8, 2026",Book Sale,BLUE DIAMOND LIBRARY,5:00pm - 6:00pm,Shop our annual Library District Foundation Summer Challenge Book Sale to enjoy unbeatable deals! All items in the bookstore are $.25.,Community Events,"Tweens, Toddlers, Teens, Seniors, Preschoolers, Kids, Babies, Adults Page 47 of 193 --footer-line"
"Wednesday July 8, 2026",Take and Make,BLUE DIAMOND LIBRARY,5:00pm - 7:00pm,"Need something to do this summer? Come pick up this kit which includes hiking and walking best practices, spending time outside, places to visit, types of flora and fauna outside, and more!",Education & Literacy • Environment & Nature • Health & Wellness,"Tweens, Toddlers, Teens, Preschoolers, Kids, Adults REGISTERED EVENT"
"Wednesday July 8, 2026",Introduction to Podcasting,EAST LAS VEGAS LIBRARY,6:00pm - 7:00pm,Learn how to operate podcast recording equipment provided in our podcast rooms. This class is required to gain access to the library district's podcast rooms. Learn best practices for great audio!,"Arts, Crafts & Hobbies • Computers & Technology • Entertainment & Theater","Teens, Adults"
"Wednesday July 8, 2026",Using DNA to Unravel Mysteries,CENTENNIAL HILLS LIBRARY,6:00pm - 7:00pm,with CeCe Moore,Lectures & Conversations,"Teens, Seniors, Adults"
"Thursday July 9, 2026",Scavenger Hunt,RAINBOW LIBRARY,10:00am - 7:45pm,How good are you at finding things? Come to the kids' area in Rainbow Library at any time of the day to have fun testing your observation skills with our popular scavenger hunt!,Games,"Tweens, Toddlers, Teens, Preschoolers, Kids, Babies"
"Thursday July 9, 2026",Pre-K Packet to Go,SPRING VALLEY LIBRARY,10:00am - 8:00pm,Come in and pick up a pre-k packet for your little one to work on at home. While supplies last.,"Arts, Crafts & Hobbies",Preschoolers
"Thursday July 9, 2026",Scavenger Hunt,ENTERPRISE LIBRARY,10:00am - 8:00pm,Join us at Enterprise Library for our Looking for a Legend Scavenger Hunt! An exciting adventure designed to spark kids' love for books! For youth ages 3 to 17 years old.,Community Events,"Tweens, Toddlers, Teens, Preschoolers, Kids"
"Thursday July 9, 2026",Baby Builders,CENTENNIAL HILLS LIBRARY,10:30am - 11:00am,Join us for a morning of building and making in this special storytime. Free and open to the public. Space is limited. This program is for ages 0-18 months.,STEAM,Babies
"Thursday July 9, 2026",Five & Under Storytime,WINDMILL LIBRARY,10:30am - 11:00am,"Families will enjoy books, songs, rhymes, and movement activities while building language and literacy skills.",Storytime,"Toddlers, Preschoolers, Kids, Babies"
"Thursday July 9, 2026",Baby Storytime,SAHARA WEST LIBRARY,10:30am - 11:15am,"Babies enjoy songs, nursery rhymes, and finger plays with their favorite adult!",Education & Literacy • Storytime,"Kids, Babies I Heart Whitney Fresh Start Mobile"
"Thursday July 9, 2026",Shower,WHITNEY LIBRARY,10:30am - 1:30pm,"Private shower stalls for unhoused individuals wanting time to refresh themselves. The ""Fresh Start Wash and Wellness"" trailer's shower stalls include a toilet, sink, and a shower.",Community Events,"Seniors, Adults"
"Thursday July 9, 2026",Social Workers at the Library!,WHITNEY LIBRARY,10:30am - 1:30pm,Talk to a social worker from Clark County CARES.,Community Events • Health & Wellness,"Tweens, Teens, Seniors, Adults Page 48 of 193 --footer-line"
"Thursday July 9, 2026",Five and Under Storytime,SUNRISE LIBRARY,10:30am - 11:00am,"Families will enjoy books, songs, rhymes, and movement activities while building language and literacy skills. This program is for all children under the age of 5 and their caregivers.",Education & Literacy • Storytime,"Toddlers, Preschoolers, Babies"
"Thursday July 9, 2026",Toddler Storytime,WEST CHARLESTON LIBRARY,10:30am - 11:00am,"Children ages 18-36 months and parents will have fun as we share songs, rhymes, and stories.",Storytime,Toddlers
"Thursday July 9, 2026",Family Literacy Workshop,SPRING VALLEY LIBRARY,10:30am - 12:30pm,"During this workshop you will learn tips on how to read to children and the benefits of reading, as well as participate in a parent-child book reading and hands-on activities.","Arts, Crafts & Hobbies • Education & Literacy","Kids, Adults Say It! Read and Pronounce in"
"Thursday July 9, 2026",English,EAST LAS VEGAS LIBRARY,10:30am - 12:30pm,Come practice reading and pronouncing words in English for Beginning and Intermediate ESL Adult levels. Located in ALP Classroom 115,Education & Literacy • Lectures & Conversations,Adults
"Thursday July 9, 2026",Digital Literacy for Adults,WEST LAS VEGAS LIBRARY,10:30am - 12:30pm,Adults of all experience levels who want to strengthen their digital literacy and technology confidence.,Computers & Technology • Education & Literacy,"Seniors, Adults"
"Thursday July 9, 2026",Short Stories,CLARK COUNTY LIBRARY,10:30am - 12:30pm,Learn about short stories and grammar,Education & Literacy,Adults Foundations of Government
"Thursday July 9, 2026",Workshop,CLARK COUNTY LIBRARY,10:30am - 12:30pm,Adults are able to learn about the United States government and events,Education & Literacy,Adults
"Thursday July 9, 2026",Mesquite Mystery Book Club,MESQUITE LIBRARY,11:00am - 12:00pm,"Join us in the love of a good mystery, from cozy to suspenseful, and have a fun and exciting discussion!","Books, Poetry & Writing","Seniors, Adults Three Square Senior Community"
"Thursday July 9, 2026",Lunch & Social Hour,EAST LAS VEGAS LIBRARY,11:00am - 1:00pm,"Join us for lunch and fun activities for seniors 60 and over. Meals are on a first come, first served basis, while supplies last.",Community Events • Health & Wellness,Seniors
"Thursday July 9, 2026",Scam Prevention Workshop,SAHARA WEST LIBRARY,11:00am - 12:00pm,Informational workshops designed to protect you from falling prey to scams.,"Business, Career, & Finance • Education & Literacy",Adults Page 49 of 193 --footer-line
"Thursday July 9, 2026",Toddler Time,ENTERPRISE LIBRARY,11:00am - 11:30am,"Enjoy Toddler Time, brought directly to you by our expert children's staff as they read beloved books, sing songs, and share early literacy tips. Ages 18 - 36 months.",Storytime,Toddlers
"Thursday July 9, 2026",Sing & Sway Thursday!,RAINBOW LIBRARY,11:00am - 11:30am,"Have fun learning through music and dancing! Kids will use colorful scarves and shaker eggs, participate in a sing-along, and enjoy an interactive book reading in this energetic and engaging program.",Storytime,"Toddlers, Preschoolers, Kids, Babies"
"Thursday July 9, 2026",Toddler Storytime,EAST LAS VEGAS LIBRARY,11:00am - 11:30am,"Children ages 18 to 36 months and parents will participate as we share songs, rhymes, and stories.",Storytime,Toddlers
"Thursday July 9, 2026",Meet Up and Eat Up,SUNRISE LIBRARY,11:00am - 1:00pm,Join Sunrise Library in the children's area for free meals for children ages 2-18. Food is provided by Three Square Food Bank.,Community Events • Health & Wellness,"Tweens, Toddlers, Teens, Preschoolers, Kids, Babies"
"Thursday July 9, 2026",Book Sale,BLUE DIAMOND LIBRARY,11:00am - 1:30pm,Shop our annual Library District Foundation Summer Challenge Book Sale to enjoy unbeatable deals! All items in the bookstore are $.25.,Community Events,"Tweens, Toddlers, Teens, Seniors, Preschoolers, Kids, Babies, Adults"
"Thursday July 9, 2026",Summer STEAM,MOAPA VALLEY LIBRARY,11:00am - 12:00pm,"Explore the fascinating world of science at Summer STEAM! Unleash your creativity, learn design, and develop real-world problem-solving skills; all while having fun!",STEAM,Kids
"Thursday July 9, 2026",Clay Play Day,BUNKERVILLE LIBRARY,11:00am - 3:00pm,Visit us on Thursday's this summer model magic clay day. What color will you make your clay? What will you shape and design with your clay? Let your imagination play!,"Arts, Crafts & Hobbies","Tweens, Teens, Preschoolers, Kids"
"Thursday July 9, 2026",Take and Make,BLUE DIAMOND LIBRARY,11:00am - 1:30pm,"Need something to do this summer? Come pick up this kit which includes hiking and walking best practices, spending time outside, places to visit, types of flora and fauna outside, and more!",Education & Literacy • Environment & Nature • Health & Wellness,"Tweens, Toddlers, Teens, Preschoolers, Kids, Adults Bilingual Storytime: English &"
"Thursday July 9, 2026",Spanish,WEST CHARLESTON LIBRARY,11:15am - 11:45am,Children ages 0-5 and their caregivers can join us for a special storytime in English and Spanish. We will share stories and songs together. Speaking Spanish is not necessary to participate.,Storytime,"Toddlers, Preschoolers, Babies Page 50 of 193 --footer-line"
"Thursday July 9, 2026",Baby Builders,CENTENNIAL HILLS LIBRARY,11:30am - 12:00pm,Join us for a morning of building and making in this special storytime. Free and open to the public. Space is limited. This program is for ages 0-18 months.,STEAM,Babies
"Thursday July 9, 2026",Puzzle Club,SUMMERLIN LIBRARY,11:30am - 1:30pm,Enjoy puzzles? Come join us for puzzle fun. Intended for adults.,"Arts, Crafts & Hobbies","Seniors, Adults"
"Thursday July 9, 2026",Five & Under Storytime,WINDMILL LIBRARY,11:30am - 12:00pm,"Families will enjoy books, songs, rhymes, and movement activities while building language and literacy skills.",Storytime,"Toddlers, Preschoolers, Kids, Babies"
"Thursday July 9, 2026",Five & Under Storytime,SUMMERLIN LIBRARY,11:30am - 12:00pm,"Enjoy a fun storytime with a variety of books, sing-a-longs, literacy tips & more.",Storytime,"Toddlers, Preschoolers, Babies"
"Thursday July 9, 2026",Pre-K Storytime,SPRING VALLEY LIBRARY,11:30am - 12:15pm,"Children ages 3-5 and their caregivers are welcome to join us for stories, songs, and activities that build early literacy skills.",Education & Literacy • Storytime,Preschoolers
"Thursday July 9, 2026",Meet Up and Eat Up,INDIAN SPRINGS LIBRARY,11:30am - 1:30pm,Join the Indian Springs Library for free meals for children ages 3-18. Food is provided by Three Square Food Bank.,Community Events • Health & Wellness,"Tweens, Toddlers, Teens, Preschoolers, Kids, Babies"
"Thursday July 9, 2026",Summer of STEAM,INDIAN SPRINGS LIBRARY,11:30am - 12:30pm,"Learn about Science, Technology, Engineering, Art, and Math through fun, short experiments! Every week will feature a different experiment.",Environment & Nature • STEAM,"Tweens, Teens, Kids"
"Thursday July 9, 2026",Music With Minis,CLARK COUNTY LIBRARY,11:30am - 12:00pm,"Join us for an action packed 30 minutes of singing, dancing, jumping, and fun movement activities. This program is for families with children ages 0-5.",Storytime,"Toddlers, Preschoolers, Babies"
"Thursday July 9, 2026",Magician Adam London,LAUGHLIN LIBRARY,12:00pm - 12:45pm,Magical Comedy,Entertainment & Theater,"Tweens, Teens, Kids"
"Thursday July 9, 2026",Teen Zone,SPRING VALLEY LIBRARY,12:00pm - 5:00pm,"Teens ages 12-17 or grades 6-12 are invited to play games, watch movies, or be creative while hanging out with friends.","Arts, Crafts & Hobbies • Games","Tweens, Teens Page 51 of 193 --footer-line"
"Thursday July 9, 2026",Meet Up and Eat Up,CLARK COUNTY LIBRARY,12:00pm - 2:00pm,Join Clark County Library Library in the children's area for free meals for children ages 2-18. Food is provided by Three Square Food Bank.,Community Events • Health & Wellness,"Tweens, Toddlers, Teens, Preschoolers, Kids, Babies"
"Thursday July 9, 2026",Meet Up and Eat Up,RAINBOW LIBRARY,12:00pm - 2:00pm,Join Rainbow Library in the children's area for free meals for children under the age of 18. Food is provided by Three Square Food Bank.,Community Events • Health & Wellness,"Tweens, Toddlers, Teens, Preschoolers, Kids, Babies"
"Thursday July 9, 2026",Meet Up and Eat Up,SPRING VALLEY LIBRARY,12:30pm - 2:30pm,Join Spring Valley Library in the children's area for free meals for children ages 3-18. Food is provided by Three Square Food Bank.,Community Events • Health & Wellness,"Tweens, Toddlers, Teens, Preschoolers, Kids"
"Thursday July 9, 2026",Meet Up and Eat Up,CENTENNIAL HILLS LIBRARY,12:30pm - 2:00pm,Join Centennial Hills Library in the Bookstore & Vending area for free meals for children ages 3- 18. Food is provided by Three Square Food Bank.,Community Events • Health & Wellness,"Tweens, Teens, Preschoolers, Kids REGISTERED EVENT"
"Thursday July 9, 2026",Painting Wildlife: Art for Adults,MEADOWS LIBRARY,1:00pm - 3:00pm,"Come paint, relax, and explore your creativity with us.","Arts, Crafts & Hobbies","Seniors, Adults REGISTERED EVENT"
"Thursday July 9, 2026",Intro to GarageBand,WEST LAS VEGAS LIBRARY,2:00pm - 3:00pm,Learn the basics of editing with GarageBand in this beginner-friendly session. Perfect for anyone curious about easy editing? No prior experience required!,"Arts, Crafts & Hobbies • Computers & Technology","Teens, Seniors, Adults"
"Thursday July 9, 2026",Meet Up and Eat Up,WEST LAS VEGAS LIBRARY,2:00pm - 4:00pm,Join West Las Vegas Library in the children's area for free meals for children ages 2-18. Food is provided by Three Square Food Bank.,Community Events • Health & Wellness,"Tweens, Toddlers, Teens, Preschoolers, Kids, Babies"
